Designator,Footprint,Quantity,Value,LCSC Part #
B2,LI-ION 18650 DUAL SMD,1,Li-ion 18650 SMD 1s2p,
"C1, C17, C4",C0603,3,0.1u,
"C11, C8, C9",C0603,3,100nF,
C15,C0603,1,1n,
"C19, C20, C21",C1206,3,10UF,
"C2, C3",1206,2,22uF,
"C5, C6",C0603,2,10u,
CHRG,LED-SMD_4P-L1.6-W1.5-BR_TZ-P4-1615,1,TZ-P4-1615RGBTCA1-0.55T,
"D1, D3",SMA(DO-214AC),2,SS34,
"L1, L3",IND-SMD_L7.0-W6.8,2,22uH,
"LED1, LED2, LED3",LED-TH_BD5.0-P2.54-L-RD_WHITE,3,MHL5013UBDWT,
Q1,TSSOP-8_L4.4-W3.0-P0.65-LS6.4-BL,1,8205A,
"Q2, Q3, Q4",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,3,S8050,
Q5,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,AO3401,
R1,R0603_NEW,1,1.2KΩ,
"R10, R9",R0603_NEW,2,4.7K,
"R11, R16, R18, R8",R0603,4,1k,
"R12, R19, R20, R21, R37, R38",R0603_NEW,6,10k,
R13,R0603,1,47k,
"R14, R4",R0603,2,330,
R15,R0603,1,2k,
"R17, R26",R1206,2,100R,
R2,R0603,1,22k,
R27,R0603_NEW,1,1k,
R3,R0603,1,100k,
"R5, R6",R0603_NEW,2,470,
R7,R0603,1,680,
STS,LED-ARRAY-SMD_4P-L1.6-W1.5-BL-FD,1,TJ-S1615CY6TGLCCSRGB-A5,
"SW1, SW2, SW3",SW-SMD_K3-1296S-E2,3,K3-1296S-E2,
"T1, T10, T2, T3, T4, T5, T6, T7, T8, T9",TOUCH_D1,10,Touchpad,
U1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,HY2120CB,
U2,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,MT3608,
U3,OPTO-TH_VS1838B,1,VS1838B,
U4,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,1,CH340G,
U5,QFN-16_L4.0-W4.0-P0.65-BL-EP2.2,1,TP5100,
U6,WIFIM-SMD_ESP-32S,1,ESP32-WROOM-32,
U9,SOT-223_L6.5-W3.5-P2.30-LS7.0-BR,1,AMS1117-3.3,
USB1,MICRO-USB-SMD_5P-P0.65-H-F_MICRO5.9MMUSB,1,MICRO5.9MMUSB,
