Designator,Mid X,Mid Y,Rotation,Layer
B2,25.334,-51.73925,90.0,top
C1,48.3486,-96.53195,90.0,top
C11,14.732,-131.318,0.0,top
C15,2.286,-110.617,90.0,top
C17,36.924,-124.4092,270.0,top
C19,36.924,-128.7272,270.0,top
C2,29.4716,-124.6454,270.0,top
C20,46.8554,-129.3622,0.0,top
C21,40.988,-121.8692,180.0,top
C3,31.0899,-141.71735,90.0,top
C4,43.6496,-102.8819,0.0,top
C5,39.1897,-110.3808,270.0,top
C6,39.3167,-113.4288,270.0,top
C8,40.8407,-110.3808,90.0,top
C9,40.9677,-113.4288,90.0,top
CHRG,24.7452,-142.3681,270.0,bottom
D1,31.5112,-128.7704,180.0,top
D3,36.924,-134.1882,270.0,top
L1,43.1597,-134.6962,0.0,top
L3,30.8178,-134.5438,180.0,top
LED1,24.9047,-3.5484,180.0,top
LED2,5.0001,-4.0,25.0,top
LED3,45.0,-4.0,155.0,top
Q1,43.1038,-96.1644,180.0,top
Q2,6.8326,-10.6934,270.0,top
Q3,7.112,-131.064,180.0,top
Q4,7.112,-134.239,180.0,top
Q5,36.4947,-105.5853,270.0,top
R1,36.9065,-140.80295,90.0,top
R10,20.066,-126.492,270.0,top
R11,31.082,-4.1783,90.0,top
R12,2.286,-107.569,90.0,top
R13,29.9199,-107.6391,0.0,top
R14,47.2056,-100.7229,180.0,top
R15,40.0936,-101.48505,90.0,top
R16,46.957,-14.1986,180.0,top
R17,48.1762,-125.5522,270.0,top
R18,34.003,-4.2139,90.0,top
R19,44.2468,-114.0358,90.0,top
R2,38.4305,-140.80295,90.0,top
R20,36.4719,-102.5627,180.0,top
R21,48.2575,-84.5922,270.0,top
R26,45.814,-125.5522,270.0,top
R27,39.9799,-140.82835,90.0,top
R3,32.9301,-107.6134,0.0,top
R37,9.652,-131.318,90.0,top
R38,7.62,-128.397,180.0,top
R4,47.2056,-99.1989,180.0,top
R5,7.747,-137.033,0.0,top
R6,7.747,-138.684,0.0,top
R7,9.3218,-8.9662,270.0,top
R8,4.064,-10.9474,90.0,top
R9,23.368,-126.492,270.0,top
STS,25.0012,-12.883,0.0,bottom
SW1,47.6264,-106.8019,0.0,top
SW2,47.7255,-115.6259,0.0,top
SW3,47.8194,-78.265,0.0,top
T1,34.9999,-80.0001,0.0,bottom
T10,24.9999,-34.9999,0.0,bottom
T2,34.9999,-65.0001,0.0,bottom
T3,15.0,-65.0001,0.0,bottom
T4,15.0,-80.0001,0.0,top
T5,24.9999,-24.9999,0.0,bottom
T6,15.0,-44.9999,0.0,bottom
T7,24.9999,-44.9999,0.0,bottom
T8,34.9999,-44.9999,0.0,bottom
T9,24.9999,-54.9999,0.0,bottom
U1,43.0146,-99.8342,0.0,top
U2,34.3157,-140.7523,270.0,top
U3,17.6403,-4.2494,180.0,top
U4,15.24,-137.541,180.0,top
U5,41.623,-126.0602,90.0,top
U6,14.351,-114.97065,270.0,top
U9,33.6017,-112.4128,180.0,top
USB1,24.765,-141.1644,0.0,top
